name,artist,rank,weeks
Things A Man Oughta Know,Lainey Wilson,81,5
Voice Of The Heroes,Lil Baby,82,3
Heart Of A Giant,Polo G,83,1
pride.is.the.devil,J. Cole,84,5
Party Lyfe,Polo G,85,1
Go Part 1,Polo G,86,1
transparentsoul,Willow,87,1
Epidemic,Polo G,88,4
Boom,Polo G,89,1
Drunk (And I Don't Wanna Go Home),Elle King,90,8
Quicksand,Morray,91,19
Country Again,Thomas Rhett,92,7
Fiel,"Los Legendarios, Wisin",93,1
2040,Lil Baby,94,2
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,95,4
Follow You,Imagine Dragons,96,11
Bloody Canvas,Polo G,97,1
Miss The Rage,Trippie Redd,98,6
Still Runnin,"Lil Baby, Lil Durk",99,2
You,Regard x Troye Sivan x Tate McRae,100,1
Butter,BTS,1,3
Good 4 U,Olivia Rodrigo,2,4
Levitating,Dua Lipa,3,36
Peaches,Justin Bieber,4,12
Leave The Door Open,Silk Sonic,5,14
Save Your Tears,The Weeknd,6,26
Kiss Me More,Doja Cat,7,9
Astronaut In The Ocean,Masked Wolf,8,17
Deja Vu,Olivia Rodrigo,9,10
Yonaguni,Bad Bunny,10,1
Montero (Call Me By Your Name),Lil Nas X,11,11
Without You,The Kid LAROI,12,27
Forever After All,Luke Combs,13,33
Rapstar,Polo G,14,9
Blinding Lights,The Weeknd,15,79
Hats Off,"Lil Baby, Lil Durk",16,1
Drivers License,Olivia Rodrigo,17,22
Beautiful Mistakes,Maroon 5,18,14
Traitor,Olivia Rodrigo,19,3
Late At Night,Roddy Ricch,20,1
Voice Of The Heroes,Lil Baby,21,2
Best Friend,Saweetie,22,22
Heartbreak Anniversary,Giveon,23,17
Heat Waves,Glass Animals,24,21
Calling My Phone,Lil Tjay,25,17
Favorite Crime,Olivia Rodrigo,26,3
Lost Cause,Billie Eilish,27,1
Happier,Olivia Rodrigo,28,3
Up,Cardi B,29,18
Mood,24kGoldn,30,44
2040,Lil Baby,31,1
Every Chance I Get,DJ Khaled,32,6
Telepatia,Kali Uchis,33,16
How It Feels,Lil Baby,34,1
Brutal,Olivia Rodrigo,35,3
Wockesha,Moneybagg Yo,36,7
Wants And Needs,Drake,37,14
Famous Friends,Chris Young + Kane Brown,38,11
pov,Ariana Grande,39,14
Gone,Dierks Bentley,40,13
Beat Box,SpotemGottem,41,21
My Ex's Best Friend,Machine Gun Kelly X blackbear,42,43
Still Runnin,"Lil Baby, Lil Durk",43,1
Track Star,Mooski,44,16
What You Know Bout Love,Pop Smoke,45,40
Who I Want,Lil Baby,46,1
my.life,"J. Cole, 21 Savage",47,4
Back In Blood,Pooh Shiesty,48,23
Time Today,Moneybagg Yo,49,18
Lil Bit,Nelly,50,12
Blame It On You,Jason Aldean,51,7
Nobody,Dylan Scott,52,15
Todo de Ti,Rauw Alejandro,53,2
Enough For You,Olivia Rodrigo,54,3
Settling Down,Miranda Lambert,55,13
Still Hood,Lil Baby,56,1
"Jealousy, Jealousy",Olivia Rodrigo,57,3
Okay,Lil Baby,58,1
Almost Maybes,Jordan Davis,59,20
Man Of My Word,Lil Baby,60,1
Build A Bitch,Bella Poarch,61,4
Breaking Up Was Easy In The 90's,Sam Hunt,62,15
Glad You Exist,Dan + Shay,63,18
pride.is.the.devil,J. Cole,64,4
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,65,3
Ski,Young Thug,66,8
Medical,Lil Baby,67,1
Rich Off Pain,"Lil Baby, Lil Durk",68,1
Leave Before You Love Me,Marshmello X Jonas Brothers,69,3
Lying,Lil Baby,70,1
Snowflakes,Tom MacDonald,71,1
Single Saturday Night,Cole Swindell,72,6
That's Facts,Lil Baby,73,1
Made For You,Jake Owen,74,16
Your Power,Billie Eilish,75,6
No More Parties,Coi Leray,76,18
We're Good,Dua Lipa,77,17
One Too Many,Keith Urban Duet With P!nk,78,26
Please,Lil Baby,79,1
Up The Side,"Lil Baby, Lil Durk",80,1
Minimum Wage,Blake Shelton,81,5
Miss The Rage,Trippie Redd,82,5
Way Less Sad,AJR,83,7
Hope Ur OK,Olivia Rodrigo,84,3
Quicksand,Morray,85,18
Arcade,Duncan Laurence,86,9
Straightenin,Migos,87,4
Gang Gang,Polo G,88,3
Drinkin' Beer. Talkin' God. Amen.,Chase Rice,89,2
Follow You,Imagine Dragons,90,10
Chasing After You,Ryan Hurd With Maren Morris,91,7
Tell Em,Cochise,92,2
4 Da Gang,42 Dugg,93,10
Tombstone,Rod Wave,94,12
What's Next,Drake,95,14
Things A Man Oughta Know,Lainey Wilson,96,4
Country Again,Thomas Rhett,97,6
Drunk (And I Don't Wanna Go Home),Elle King,98,7
If You Want To,Lil Baby,99,1
Seeing Green,"Nicki Minaj, Drake",100,4
Butter,BTS,1,2
Good 4 U,Olivia Rodrigo,2,3
Levitating,Dua Lipa,3,35
Leave The Door Open,Silk Sonic,4,13
Save Your Tears,The Weeknd,5,25
Peaches,Justin Bieber,6,11
Kiss Me More,Doja Cat,7,8
Deja Vu,Olivia Rodrigo,8,9
Astronaut In The Ocean,Masked Wolf,9,16
Montero (Call Me By Your Name),Lil Nas X,10,10
Without You,The Kid LAROI,11,26
Traitor,Olivia Rodrigo,12,2
Drivers License,Olivia Rodrigo,13,21
Rapstar,Polo G,14,8
Forever After All,Luke Combs,15,32
Favorite Crime,Olivia Rodrigo,16,2
Blinding Lights,The Weeknd,17,78
Beautiful Mistakes,Maroon 5,18,13
Brutal,Olivia Rodrigo,19,2
Happier,Olivia Rodrigo,20,2
Calling My Phone,Lil Tjay,21,16
Best Friend,Saweetie,22,21
Heartbreak Anniversary,Giveon,23,16
Up,Cardi B,24,17
Heat Waves,Glass Animals,25,20
Every Chance I Get,DJ Khaled,26,5
Enough For You,Olivia Rodrigo,27,2
my.life,"J. Cole, 21 Savage",28,3
Beat Box,SpotemGottem,29,20
Mood,24kGoldn,30,43
My Ex's Best Friend,Machine Gun Kelly X blackbear,31,42
Track Star,Mooski,32,15
Wockesha,Moneybagg Yo,33,6
Telepatia,Kali Uchis,34,15
Back In Blood,Pooh Shiesty,35,22
Gone,Dierks Bentley,36,12
pov,Ariana Grande,37,13
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,38,2
Wants And Needs,Drake,39,13
The Good Ones,Gabby Barrett,40,23
What You Know Bout Love,Pop Smoke,41,39
"Jealousy, Jealousy",Olivia Rodrigo,42,2
Famous Friends,Chris Young + Kane Brown,43,10
Hell Of A View,Eric Church,44,21
pride.is.the.devil,J. Cole,45,3
On Me,Lil Baby,46,26
Settling Down,Miranda Lambert,47,12
Time Today,Moneybagg Yo,48,17
Breaking Up Was Easy In The 90's,Sam Hunt,49,14
Nobody,Dylan Scott,50,14
Almost Maybes,Jordan Davis,51,19
Hope Ur OK,Olivia Rodrigo,52,2
Lil Bit,Nelly,53,11
We're Good,Dua Lipa,54,16
Ski,Young Thug,55,7
Build A Bitch,Bella Poarch,56,3
Made For You,Jake Owen,57,15
Miss The Rage,Trippie Redd,58,4
No More Parties,Coi Leray,59,17
Your Power,Billie Eilish,60,5
Gang Gang,Polo G,61,2
Killer,Eminem,62,1
Blame It On You,Jason Aldean,63,6
Tell Em,Cochise,64,1
amari,J. Cole,65,3
Todo de Ti,Rauw Alejandro,66,1
Seeing Green,"Nicki Minaj, Drake",67,3
Glad You Exist,Dan + Shay,68,17
Minimum Wage,Blake Shelton,69,4
Single Saturday Night,Cole Swindell,70,5
One Too Many,Keith Urban Duet With P!nk,71,25
Leave Before You Love Me,Marshmello X Jonas Brothers,72,2
Quicksand,Morray,73,17
4 Da Gang,42 Dugg,74,9
Drinkin' Beer. Talkin' God. Amen.,Chase Rice,75,1
What's Next,Drake,76,13
Way Less Sad,AJR,77,6
Straightenin,Migos,78,3
Tombstone,Rod Wave,79,11
Maybach,42 Dugg,80,2
Voice Of The Heroes,Lil Baby,81,1
Twerkulator,City Girls,82,2
Goosebumps,Travis Scott,83,20
Solid,Young Thug,84,7
Arcade,Duncan Laurence,85,8
Follow You,Imagine Dragons,86,9
Chasing After You,Ryan Hurd With Maren Morris,87,6
Hello,Pop Smoke,88,11
Country Again,Thomas Rhett,89,5
Pick Up Your Feelings,Jazmine Sullivan,90,19
The Business,Tiesto,91,14
Drunk (And I Don't Wanna Go Home),Elle King,92,6
Things A Man Oughta Know,Lainey Wilson,93,3
95.south,J. Cole,94,3
Drankin N Smokin,Future,95,18
All I Know So Far,P!nk,96,3
Hold On,Justin Bieber,97,13
Wasted On You,Morgan Wallen,98,19
Outside,MO3 X OG Bobby Billions,99,1
Botella Tras Botella,Gera MX + Christian Nodal,100,4
Butter,BTS,1,1
Good 4 U,Olivia Rodrigo,2,2
Deja Vu,Olivia Rodrigo,3,8
Levitating,Dua Lipa,4,34
Leave The Door Open,Silk Sonic,5,12
Peaches,Justin Bieber,6,10
Save Your Tears,The Weeknd,7,24
Kiss Me More,Doja Cat,8,7
Traitor,Olivia Rodrigo,9,1
Astronaut In The Ocean,Masked Wolf,10,15
Drivers License,Olivia Rodrigo,11,20
Brutal,Olivia Rodrigo,12,1
Montero (Call Me By Your Name),Lil Nas X,13,9
Enough For You,Olivia Rodrigo,14,1
Happier,Olivia Rodrigo,15,1
Without You,The Kid LAROI,16,25
Rapstar,Polo G,17,7
Favorite Crime,Olivia Rodrigo,18,1
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,19,1
Forever After All,Luke Combs,20,31
my.life,"J. Cole, 21 Savage",21,2
Blinding Lights,The Weeknd,22,77
Beautiful Mistakes,Maroon 5,23,12
"Jealousy, Jealousy",Olivia Rodrigo,24,1
Calling My Phone,Lil Tjay,25,15
pride.is.the.devil,J. Cole,26,2
Best Friend,Saweetie,27,20
Up,Cardi B,28,16
Hope Ur OK,Olivia Rodrigo,29,1
Heartbreak Anniversary,Giveon,30,15
Beat Box,SpotemGottem,31,19
Track Star,Mooski,32,14
Gang Gang,Polo G,33,1
Every Chance I Get,DJ Khaled,34,4
Mood,24kGoldn,35,42
Wockesha,Moneybagg Yo,36,5
Heat Waves,Glass Animals,37,19
Back In Blood,Pooh Shiesty,38,21
My Ex's Best Friend,Machine Gun Kelly X blackbear,39,41
Hell Of A View,Eric Church,40,20
amari,J. Cole,41,2
The Good Ones,Gabby Barrett,42,22
What You Know Bout Love,Pop Smoke,43,38
Telepatia,Kali Uchis,44,14
pov,Ariana Grande,45,12
Wants And Needs,Drake,46,12
Breaking Up Was Easy In The 90's,Sam Hunt,47,13
Seeing Green,"Nicki Minaj, Drake",48,2
On Me,Lil Baby,49,25
Nobody,Dylan Scott,50,13
Twerkulator,City Girls,51,1
Famous Friends,Chris Young + Kane Brown,52,9
Time Today,Moneybagg Yo,53,16
We're Good,Dua Lipa,54,15
Gone,Dierks Bentley,55,11
Almost Maybes,Jordan Davis,56,18
Settling Down,Miranda Lambert,57,11
Build A Bitch,Bella Poarch,58,2
95.south,J. Cole,59,2
Your Power,Billie Eilish,60,4
No More Parties,Coi Leray,61,16
Lil Bit,Nelly,62,10
Miss The Rage,Trippie Redd,63,3
Ski,Young Thug,64,6
Made For You,Jake Owen,65,14
Sun Goes Down,Lil Nas X,66,1
4 Da Gang,42 Dugg,67,8
Maybach,42 Dugg,68,1
Straightenin,Migos,69,2
Minimum Wage,Blake Shelton,70,3
interlude,J. Cole,71,3
applying.pressure,J. Cole,72,2
What's Next,Drake,73,12
One Too Many,Keith Urban Duet With P!nk,74,24
Glad You Exist,Dan + Shay,75,16
Blame It On You,Jason Aldean,76,5
Quicksand,Morray,77,16
Single Saturday Night,Cole Swindell,78,4
Streets,Doja Cat,79,20
100.mil',J. Cole,80,2
Solid,Young Thug,81,6
Tombstone,Rod Wave,82,10
let.go.my.hand,"J. Cole, Bas",83,2
Goosebumps,Travis Scott,84,19
Leave Before You Love Me,Marshmello X Jonas Brothers,85,1
Hold On,Justin Bieber,86,12
All I Know So Far,P!nk,87,2
Arcade,Duncan Laurence,88,7
Follow You,Imagine Dragons,89,8
Chasing After You,Ryan Hurd With Maren Morris,90,5
Pick Up Your Feelings,Jazmine Sullivan,91,18
24 Hours,A Boogie Wit da Hoodie,92,1
Hello,Pop Smoke,93,10
Way Less Sad,AJR,94,5
Drankin N Smokin,Future,95,17
Country Again,Thomas Rhett,96,4
punchin'.the.clock,J. Cole,97,2
Wasted On You,Morgan Wallen,98,18
the.climb.back,J. Cole,99,4
Things A Man Oughta Know,Lainey Wilson,100,2
Good 4 U,Olivia Rodrigo,1,1
my.life,"J. Cole, 21 Savage",2,1
Levitating,Dua Lipa,3,33
Leave The Door Open,Silk Sonic,4,11
amari,J. Cole,5,1
Peaches,Justin Bieber,6,9
pride.is.the.devil,J. Cole,7,1
95.south,J. Cole,8,1
Save Your Tears,The Weeknd,9,23
Kiss Me More,Doja Cat,10,6
Astronaut In The Ocean,Masked Wolf,11,14
Seeing Green,"Nicki Minaj, Drake",12,1
applying.pressure,J. Cole,13,1
100.mil',J. Cole,14,1
Rapstar,Polo G,15,6
Without You,The Kid LAROI,16,24
interlude,J. Cole,17,2
Montero (Call Me By Your Name),Lil Nas X,18,8
let.go.my.hand,"J. Cole, Bas",19,1
punchin'.the.clock,J. Cole,20,1
Deja Vu,Olivia Rodrigo,21,7
Forever After All,Luke Combs,22,30
Blinding Lights,The Weeknd,23,76
Drivers License,Olivia Rodrigo,24,19
the.climb.back,J. Cole,25,3
Beautiful Mistakes,Maroon 5,26,11
Up,Cardi B,27,15
hunger.on.hillside,J. Cole,28,1
Calling My Phone,Lil Tjay,29,14
Best Friend,Saweetie,30,19
Beat Box,SpotemGottem,31,18
Heartbreak Anniversary,Giveon,32,14
close,J. Cole,33,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,34,40
Every Chance I Get,DJ Khaled,35,3
Hell Of A View,Eric Church,36,19
Mood,24kGoldn,37,41
Straightenin,Migos,38,1
Wockesha,Moneybagg Yo,39,4
Back In Blood,Pooh Shiesty,40,20
The Good Ones,Gabby Barrett,41,21
Heat Waves,Glass Animals,42,18
Breaking Up Was Easy In The 90's,Sam Hunt,43,12
Track Star,Mooski,44,13
What You Know Bout Love,Pop Smoke,45,37
We're Good,Dua Lipa,46,14
On Me,Lil Baby,47,24
Telepatia,Kali Uchis,48,13
Wants And Needs,Drake,49,11
Miss The Rage,Trippie Redd,50,2
pov,Ariana Grande,51,11
Fractions,Nicki Minaj,52,1
Time Today,Moneybagg Yo,53,15
Your Power,Billie Eilish,54,3
Famous Friends,Chris Young + Kane Brown,55,8
Made For You,Jake Owen,56,13
Settling Down,Miranda Lambert,57,10
Build A Bitch,Bella Poarch,58,1
Nobody,Dylan Scott,59,12
No More Parties,Coi Leray,60,15
Almost Maybes,Jordan Davis,61,17
Gone,Dierks Bentley,62,10
Ski,Young Thug,63,5
Lil Bit,Nelly,64,9
Goosebumps,Travis Scott,65,18
What's Next,Drake,66,11
His & Hers,"Internet Money, Don Toliver",67,1
Streets,Doja Cat,68,19
One Too Many,Keith Urban Duet With P!nk,69,23
Quicksand,Morray,70,15
Glad You Exist,Dan + Shay,71,15
Tombstone,Rod Wave,72,9
Blame It On You,Jason Aldean,73,4
Hold On,Justin Bieber,74,11
Follow You,Imagine Dragons,75,7
Solid,Young Thug,76,5
Single Saturday Night,Cole Swindell,77,3
White Teeth,YoungBoy Never Broke Again,78,1
The Business,Tiesto,79,13
Arcade,Duncan Laurence,80,6
Pick Up Your Feelings,Jazmine Sullivan,81,17
Itty Bitty Piggy,Nicki Minaj,82,1
Hello,Pop Smoke,83,9
Street Runner,Rod Wave,84,10
Way Less Sad,AJR,85,4
Drankin N Smokin,Future,86,16
Chasing After You,Ryan Hurd With Maren Morris,87,4
La Noche de Anoche,Bad Bunny,88,17
Come Through,H.E.R.,89,2
Shottas (Lala),Moneybagg Yo,90,4
Never Left,Lil Tecca,91,2
Drunk (And I Don't Wanna Go Home),Elle King,92,5
4 Da Gang,42 Dugg,93,7
Things A Man Oughta Know,Lainey Wilson,94,1
Higher Power,Coldplay,95,2
Minimum Wage,Blake Shelton,96,2
Wasted On You,Morgan Wallen,97,17
Lady,Brett Young,98,19
Country Again,Thomas Rhett,99,3
Crocodile Teeth,Nicki Minaj,100,1
Leave The Door Open,Silk Sonic,1,10
Levitating,Dua Lipa,2,32
Peaches,Justin Bieber,3,8
Save Your Tears,The Weeknd,4,22
Kiss Me More,Doja Cat,5,5
Astronaut In The Ocean,Masked Wolf,6,13
Rapstar,Polo G,7,5
interlude,J. Cole,8,1
Without You,The Kid LAROI,9,23
Montero (Call Me By Your Name),Lil Nas X,10,7
Miss The Rage,Trippie Redd,11,1
Blinding Lights,The Weeknd,12,75
Calling My Phone,Lil Tjay,13,13
Up,Cardi B,14,14
Beat Box,SpotemGottem,15,17
Drivers License,Olivia Rodrigo,16,18
Deja Vu,Olivia Rodrigo,17,6
Beautiful Mistakes,Maroon 5,18,10
Best Friend,Saweetie,19,18
My Ex's Best Friend,Machine Gun Kelly X blackbear,20,39
Every Chance I Get,DJ Khaled,21,2
Forever After All,Luke Combs,22,29
Heartbreak Anniversary,Giveon,23,13
Mood,24kGoldn,24,40
On Me,Lil Baby,25,23
Back In Blood,Pooh Shiesty,26,19
The Good Ones,Gabby Barrett,27,20
What You Know Bout Love,Pop Smoke,28,36
Your Power,Billie Eilish,29,2
Hell Of A View,Eric Church,30,18
We're Good,Dua Lipa,31,13
Breaking Up Was Easy In The 90's,Sam Hunt,32,11
Heat Waves,Glass Animals,33,17
Track Star,Mooski,34,12
Made For You,Jake Owen,35,12
34+35,Ariana Grande Feat. Doja Cat,36,28
Positions,Ariana Grande,37,29
Wants And Needs,Drake,38,10
You Broke Me First.,Tate McRae,39,38
Telepatia,Kali Uchis,40,12
Time Today,Moneybagg Yo,41,14
Wockesha,Moneybagg Yo,42,3
Dakiti,Bad Bunny,43,28
You're Mines Still,Yung Bleu,44,23
Therefore I Am,Billie Eilish,45,27
What's Your Country Song,Thomas Rhett,46,21
Goosebumps,Travis Scott,47,17
No More Parties,Coi Leray,48,14
Settling Down,Miranda Lambert,49,9
pov,Ariana Grande,50,10
Ski,Young Thug,51,4
What's Next,Drake,52,10
Higher Power,Coldplay,53,1
Good Days,SZA,54,20
Nobody,Dylan Scott,55,11
Never Left,Lil Tecca,56,1
Solid,Young Thug,57,4
Streets,Doja Cat,58,18
Gone,Dierks Bentley,59,9
Lil Bit,Nelly,60,8
Famous Friends,Chris Young + Kane Brown,61,7
Just The Way,Parmalee x Blanco Brown,62,20
Tombstone,Rod Wave,63,8
Almost Maybes,Jordan Davis,64,16
Glad You Exist,Dan + Shay,65,14
Quicksand,Morray,66,14
Hold On,Justin Bieber,67,10
Follow You,Imagine Dragons,68,6
One Too Many,Keith Urban Duet With P!nk,69,22
The Business,Tiesto,70,12
Blame It On You,Jason Aldean,71,3
Shottas (Lala),Moneybagg Yo,72,3
Street Runner,Rod Wave,73,9
All I Know So Far,P!nk,74,1
Ramen & OJ,Joyner Lucas,75,2
Pick Up Your Feelings,Jazmine Sullivan,76,16
Down To One,Luke Bryan,77,20
Arcade,Duncan Laurence,78,5
Lady,Brett Young,79,18
Single Saturday Night,Cole Swindell,80,2
Hard For The Next,Moneybagg Yo,81,5
What You Need,Don Toliver,82,1
La Noche de Anoche,Bad Bunny,83,16
Hello,Pop Smoke,84,8
Way Less Sad,AJR,85,3
Drankin N Smokin,Future,86,15
4 Da Gang,42 Dugg,87,6
I Did It,DJ Khaled,88,2
Botella Tras Botella,Gera MX + Christian Nodal,89,3
Chasing After You,Ryan Hurd With Maren Morris,90,3
Tampa,Cico P,91,2
Big Gangsta,Kevin Gates,92,5
Hellcats & Trackhawks,Lil Durk,93,9
Let It Go,DJ Khaled,94,2
Country Again,Thomas Rhett,95,2
Minimum Wage,Blake Shelton,96,1
Richer,Rod Wave,97,7
Drunk (And I Don't Wanna Go Home),Elle King,98,4
Headshot,"Lil Tjay, Polo G",99,8
Go!,Moneybagg Yo,100,4
Save Your Tears,The Weeknd,1,21
Leave The Door Open,Silk Sonic,2,9
Peaches,Justin Bieber,3,7
Levitating,Dua Lipa,4,31
Kiss Me More,Doja Cat,5,4
Rapstar,Polo G,6,4
Astronaut In The Ocean,Masked Wolf,7,12
Without You,The Kid LAROI,8,22
Montero (Call Me By Your Name),Lil Nas X,9,6
Your Power,Billie Eilish,10,1
Blinding Lights,The Weeknd,11,74
Up,Cardi B,12,13
Calling My Phone,Lil Tjay,13,12
Drivers License,Olivia Rodrigo,14,17
Deja Vu,Olivia Rodrigo,15,5
Beat Box,SpotemGottem,16,16
Best Friend,Saweetie,17,17
On Me,Lil Baby,18,22
Beautiful Mistakes,Maroon 5,19,9
Every Chance I Get,DJ Khaled,20,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,21,38
Heartbreak Anniversary,Giveon,22,12
Forever After All,Luke Combs,23,28
Mood,24kGoldn,24,39
Back In Blood,Pooh Shiesty,25,18
What You Know Bout Love,Pop Smoke,26,35
The Good Ones,Gabby Barrett,27,19
Go Crazy,Chris Brown,28,52
34+35,Ariana Grande Feat. Doja Cat,29,27
Sorry Not Sorry,DJ Khaled,30,1
Track Star,Mooski,31,11
Made For You,Jake Owen,32,11
Therefore I Am,Billie Eilish,33,26
Heat Waves,Glass Animals,34,16
You Broke Me First.,Tate McRae,35,37
Hell Of A View,Eric Church,36,17
Positions,Ariana Grande,37,28
Dakiti,Bad Bunny,38,27
We're Good,Dua Lipa,39,12
Breaking Up Was Easy In The 90's,Sam Hunt,40,10
Time Today,Moneybagg Yo,41,13
Wants And Needs,Drake,42,9
I Did It,DJ Khaled,43,1
You're Mines Still,Yung Bleu,44,22
What's Next,Drake,45,9
Telepatia,Kali Uchis,46,11
What's Your Country Song,Thomas Rhett,47,20
Ski,Young Thug,48,3
Good Days,SZA,49,19
Goosebumps,Travis Scott,50,16
No More Parties,Coi Leray,51,13
Solid,Young Thug,52,3
Streets,Doja Cat,53,17
Let It Go,DJ Khaled,54,1
pov,Ariana Grande,55,9
Settling Down,Miranda Lambert,56,8
Wockesha,Moneybagg Yo,57,2
Tombstone,Rod Wave,58,7
Just The Way,Parmalee x Blanco Brown,59,19
Hold On,Justin Bieber,60,9
Lil Bit,Nelly,61,7
Shottas (Lala),Moneybagg Yo,62,2
Gone,Dierks Bentley,63,8
Nobody,Dylan Scott,64,10
Quicksand,Morray,65,13
Famous Friends,Chris Young + Kane Brown,66,6
Ramen & OJ,Joyner Lucas,67,1
Street Runner,Rod Wave,68,8
The Business,Tiesto,69,11
One Too Many,Keith Urban Duet With P!nk,70,21
Almost Maybes,Jordan Davis,71,15
Hard For The Next,Moneybagg Yo,72,4
Country Again,Thomas Rhett,73,1
Glad You Exist,Dan + Shay,74,13
Follow You,Imagine Dragons,75,5
Botella Tras Botella,Gera MX + Christian Nodal,76,2
Lady,Brett Young,77,17
Somebody Like That,Tenille Arts,78,16
Body In Motion,DJ Khaled,79,1
Go!,Moneybagg Yo,80,3
Pick Up Your Feelings,Jazmine Sullivan,81,15
Down To One,Luke Bryan,82,19
4 Da Gang,42 Dugg,83,5
Big Paper,DJ Khaled,84,1
Durag Activity,Baby Keem,85,1
La Noche de Anoche,Bad Bunny,86,15
Blame It On You,Jason Aldean,87,2
Big Gangsta,Kevin Gates,88,4
Arcade,Duncan Laurence,89,4
Final Warning,NLE Choppa,90,1
Richer,Rod Wave,91,6
Hellcats & Trackhawks,Lil Durk,92,8
Drankin N Smokin,Future,93,14
Headshot,"Lil Tjay, Polo G",94,7
Single Saturday Night,Cole Swindell,95,1
If Pain Was A Person,Moneybagg Yo,96,2
Tampa,Cico P,97,1
Hello,Pop Smoke,98,7
Way Less Sad,AJR,99,2
Thankful,DJ Khaled,100,1
Save Your Tears,The Weeknd,1,20
Leave The Door Open,Silk Sonic,2,8
Peaches,Justin Bieber,3,6
Rapstar,Polo G,4,3
Levitating,Dua Lipa,5,30
Kiss Me More,Doja Cat,6,3
Montero (Call Me By Your Name),Lil Nas X,7,5
Astronaut In The Ocean,Masked Wolf,8,11
Up,Cardi B,9,12
Drivers License,Olivia Rodrigo,10,16
Blinding Lights,The Weeknd,11,73
Deja Vu,Olivia Rodrigo,12,4
Beat Box,SpotemGottem,13,15
Calling My Phone,Lil Tjay,14,11
On Me,Lil Baby,15,21
Best Friend,Saweetie,16,16
Heartbreak Anniversary,Giveon,17,11
Beautiful Mistakes,Maroon 5,18,8
What You Know Bout Love,Pop Smoke,19,34
Mood,24kGoldn,20,38
My Ex's Best Friend,Machine Gun Kelly X blackbear,21,37
Back In Blood,Pooh Shiesty,22,17
Without You,The Kid LAROI,23,21
The Good Ones,Gabby Barrett,24,18
Go Crazy,Chris Brown,25,51
You Broke Me First.,Tate McRae,26,36
34+35,Ariana Grande Feat. Doja Cat,27,26
Hell Of A View,Eric Church,28,16
Forever After All,Luke Combs,29,27
What's Next,Drake,30,8
Time Today,Moneybagg Yo,31,12
Therefore I Am,Billie Eilish,32,25
Dakiti,Bad Bunny,33,26
Positions,Ariana Grande,34,27
Shottas (Lala),Moneybagg Yo,35,1
Solid,Young Thug,36,2
Track Star,Mooski,37,10
Ski,Young Thug,38,2
Wants And Needs,Drake,39,8
You're Mines Still,Yung Bleu,40,21
We're Good,Dua Lipa,41,11
Heat Waves,Glass Animals,42,15
Made For You,Jake Owen,43,10
Good Days,SZA,44,18
For The Night,Pop Smoke,45,43
Breaking Up Was Easy In The 90's,Sam Hunt,46,9
No More Parties,Coi Leray,47,12
Goosebumps,Travis Scott,48,15
Telepatia,Kali Uchis,49,10
Tombstone,Rod Wave,50,6
Streets,Doja Cat,51,16
Go!,Moneybagg Yo,52,2
Hard For The Next,Moneybagg Yo,53,3
If Pain Was A Person,Moneybagg Yo,54,1
What's Your Country Song,Thomas Rhett,55,19
Just The Way,Parmalee x Blanco Brown,56,18
Hold On,Justin Bieber,57,8
Settling Down,Miranda Lambert,58,7
Wockesha,Moneybagg Yo,59,1
Botella Tras Botella,Gera MX + Christian Nodal,60,1
Willow,Taylor Swift,61,20
Damage,H.E.R.,62,20
Street Runner,Rod Wave,63,7
Come Through,H.E.R.,64,1
Somebody Like That,Tenille Arts,65,15
pov,Ariana Grande,66,8
Lil Bit,Nelly,67,6
Gone,Dierks Bentley,68,7
Nobody,Dylan Scott,69,9
Famous Friends,Chris Young + Kane Brown,70,5
Quicksand,Morray,71,12
Lady,Brett Young,72,16
The Business,Tiesto,73,10
La Noche de Anoche,Bad Bunny,74,14
One Too Many,Keith Urban Duet With P!nk,75,20
Richer,Rod Wave,76,5
Almost Maybes,Jordan Davis,77,14
Follow You,Imagine Dragons,78,4
Glad You Exist,Dan + Shay,79,12
Free Promo,Moneybagg Yo,80,1
Pick Up Your Feelings,Jazmine Sullivan,81,14
Just Say Det,Moneybagg Yo,82,1
Big Gangsta,Kevin Gates,83,3
Down To One,Luke Bryan,84,18
Headshot,"Lil Tjay, Polo G",85,6
Hellcats & Trackhawks,Lil Durk,86,7
Anyone,Justin Bieber,87,17
My Head And My Heart,Ava Max,88,12
How They Remember You,Rascal Flatts,89,2
Arcade,Duncan Laurence,90,3
Drunk (And I Don't Wanna Go Home),Elle King,91,3
Masterpiece,DaBaby,92,14
Long Live,Florida Georgia Line,93,17
Chasing After You,Ryan Hurd With Maren Morris,94,2
Drankin N Smokin,Future,95,13
4 Da Gang,42 Dugg,96,4
Blame It On You,Jason Aldean,97,1
Wasted On You,Morgan Wallen,98,16
Way Less Sad,AJR,99,1
Clear Da Air,Moneybagg Yo,100,1
Rapstar,Polo G,1,2
Leave The Door Open,Silk Sonic,2,7
Peaches,Justin Bieber,3,5
Montero (Call Me By Your Name),Lil Nas X,4,4
Levitating,Dua Lipa,5,29
Save Your Tears,The Weeknd,6,19
Astronaut In The Ocean,Masked Wolf,7,10
